id,country_city,start_time,end_time,date,mean_temp_celsius,incentive_local,exchange_usd_local,incentive_usd,gender,point_value,site_id,session_n,subject_n,tr_opponet_n,ch_opponent_n,version,treatment,dc_cl_ps,dc_cl_envy,dc_c_ps,dc_c_envy,dc_cl_ps_points,dc_cl_envy_points,dc_c_ps_points,dc_c_envy_points,pr_correct,pr_wrong,pr_not_attempted,tr_correct,tr_wrong,tr_not_attempted,tr_die,tr_total,tr_guess_correct,tr_guess_die,tr_guess_total,tr_other_correct,tr_other_die,tr_other_total,tr_result,tr_points,f_happy,f_energetic,f_frustrated,f_last_meal_min,ch_correct,ch_wrong,ch_not_attempted,ch_die,ch_total,ch_tournament,ch_other_correct,ch_other_die,ch_other_total,ch_result,ch_points,ct_selected,ct_tails,ct_points,task_paid,complete,total_points,total_local_paid,total_usd_paid,final_version,comment,f_last_meal_time,start_time_h,end_time_h,q1_gender,q2_age,q3_education,q4a_live_district,q4b_live_town,q5a_birth_district,q5b_birth_town,q6a_departament,q6b_career,q7_people_household,q8_marital_status,q9_live_with,q10_children_care,q11_children_biological,q12_religion,q13_occupation,q14_socioeconomic_status,q15_income_consistency,q16_membership,q17_exposure_index,q18_stress_1,q19_stress_2,q20_stress_3,q21_stress_4,q22_stress_5,q23_stress_6,q24_stress_7,q25_stress_8,q26_stress_9,q27_stress_10,q28_stress_11,q29_stress_12,q30_stress_13,q31_stress_14,q32_stress_15,q33_last_month_1,q34_last_month_2,q35_last_month_3,q36_last_month_4,q37_last_month_5,q38_last_month_6,q39_last_month_7,q40_last_month_8,q41_last_month_9,q42_last_month_10,q43_satisfaction_1,q44_satisfaction_2,q45_satisfaction_3,q46_satisfaction_4,q47_satisfaction_5,q48_trust_1,q49_trust_2,q50_check,q51_trust_3,q52_trust_4,q53_trust_5,q54_trust_6,q55_trust_7,q56_trust_8,q57_gender_1,q58_gender_2,q59_gender_3,q60_gender_4,q61_gender_5,q62_gender_6,q63_gender_7,q64_gender_8,q65_gender_9,q66_gender_10,q67_gender_11,q68_gender_12,q69_gender_13,q70_gender_14,q71_gender_15,q72_gender_16,q73_gender_17,q74_gender_18,q75_gender_19,q76_gender_20,q77_gender_21,q78_gender_22,q79_gender_23,q80_discounting_1,q81_discounting_2,q82_discounting_3,q83_discounting_4,q84a_friends,q84b_friends,q84c_friends,q85_feelings_1,q86_feelings_2,q87_feelings_3,q88_feelings_4
001018001,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,1,2,9,A,0,1,2,1,2,16,20,16,23,7,0,5,3,1,8,2,5,5,3,8,6,5,11,0,0,5,7,8,180,9,0,3,3,12,1,9,3,12,1,12,2,0,9.5,4,1,23,330,16.5,1,NA,3 0,12,13,Female,22,5,texcoco,texcoco,tepic,"tepic, nayarit",departamento de ingeneria agroindustrial,ingenieria agroindustrial,3,1,12,0,0,Catholic,6,4,1,Yes,12346,3,2,5,4,2,2,2,3,1,4,2,4,2,2,3,3,3,4,4,3,3,2,3,4,2,4,2,5,4,5,2,3,4,1,3,2,2,2,2,2,1,4,5,1,1,4,5,1,5,1,4,1,1,1,3,3,1,2,4,5,4,4,4,2,36000,4,3,2,NA,8,9,8,3
001018002,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,2,1,NA,A,0,1,2,1,2,16,20,16,23,5,1,6,6,1,5,5,11,7,4,11,3,2,5,2,22,9,8,3,240,4,0,8,3,7,0,4,3,7,NA,7,2,0,9.5,4,1,23,330,16.5,1,NA,4 0,12,13,Male,24,5,texcoco,texcoco,ixtlayutla,ixtlayutla,dicea,lci,5,1,246,NA,NA,Catholic,6,7,2,Yes,23,2,5,4,4,3,2,3,3,4,3,4,4,1,1,2,4,5,5,1,1,1,1,1,2,1,4,NA,1,4,4,3,2,4,2,3,4,3,2,2,3,4,5,4,1,1,4,3,1,5,1,1,1,1,3,1,2,4,4,3,5,NA,4,4,2,8000,2,0,0,0,7,6,4,9
001018005,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,5,9,NA,A,0,1,2,1,2,16,20,16,23,6,0,6,7,1,4,2,9,8,1,9,5,6,11,0,0,8,7,3,240,7,0,5,5,12,0,4,3,7,NA,12,3,0,8,4,1,23,330,16.5,1,NA,4 0,12,13,Male,20,5,san luis huexotla,texcoco,oaxaca,oaxaca,sociologia rural,ingenierio agronomo en sociologia rural,3,1,26,NA,NA,Catholic,6,6,3,No,2,4,4,2,5,3,4,2,5,3,4,3,2,1,1,2,3,1,2,4,4,2,4,4,3,2,4,3,5,1,4,3,2,4,2,3,3,2,3,2,3,2,4,4,3,1,2,3,1,4,1,1,1,1,4,2,2,5,2,3,5,4,2,2,2,10000,3,1,0,0,8,9,7,3
001018009,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,9,5,1,A,0,1,2,1,2,16,20,16,23,1,0,11,5,4,3,6,11,6,4,10,7,2,9,2,22,4,3,0,90,7,5,0,6,13,1,7,6,13,1,13,6,0,1,4,1,23,330,16.5,1,NA,1 30,12,13,Male,22,5,texcoco,cooperativa,NA,NA,irrigacion,ingenieria en irrigacion,4,1,12,0,0,Catholic,6,6,1,Yes,136,4,5,3,2,3,5,4,5,1,3,1,1,4,3,2,5,4,5,3,5,3,2,2,1,4,5,4,4,4,4,3,2,4,1,3,3,2,2,3,2,2,5,5,1,1,4,4,3,5,1,2,1,1,2,NA,2,4,3,4,5,2,1,1,2,30000,4,3,2,0,7,7,6,8
001018010,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Male,10,1,18,10,13,9,A,0,1,1,1,1,16,16,12,21,7,0,5,9,0,3,6,15,11,2,13,7,2,9,2,30,8,10,4,30,10,0,2,2,12,1,9,3,12,1,12,6,0,1,4,1,21,310,15.5,1,NA,0 30,12,13,Male,22,5,gustavo a. madero,san pedro el chico,texcoco,san diego,dima,mecanica agricola,3,1,24,0,0,Non-religious,6,8,1,No,356,4,3,1,4,4,2,4,2,3,4,1,1,1,4,1,3,4,2,2,1,2,3,2,4,3,4,NA,2,3,2,3,3,4,2,4,4,4,4,4,2,4,4,5,4,1,5,4,1,5,1,1,1,1,3,4,5,4,4,2,5,3,4,4,2,60000,2,3,2,1,8,9,6,7
001018013,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,13,10,NA,A,0,1,1,2,2,16,16,20,18,2,0,10,7,0,5,2,9,5,2,7,9,6,15,0,0,8,9,8,120,5,2,5,4,9,0,4,3,7,NA,9,2,0,9.5,4,1,18,280,14,1,NA,2 0,12,13,Female,21,7,texcoco,cooperativa,santiago yauco,nuevo ocotlan,sociologia rural,sociologia rural,5,1,12,0,0,Catholic,6,7,2,Yes,3,5,4,3,2,2,4,2,1,3,5,5,4,1,5,3,4,4,4,5,5,3,2,4,4,3,4,5,5,5,5,3,3,4,1,2,2,2,3,3,3,3,4,5,1,1,5,2,1,5,1,1,1,1,3,4,2,3,4,3,5,3,4,2,2,42000,1,1,0,0,8,8,8,3
001018014,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,14,15,NA,A,0,1,2,1,2,16,16,16,23,6,0,6,6,2,4,2,8,8,5,13,7,6,13,0,0,3,3,8,90,7,1,4,1,8,0,4,3,7,NA,8,1,0,11,4,1,23,330,16.5,1,NA,1 30,12,13,Female,22,5,texcoco,NA,chahuites,NA,dia,ingeniero agroindustrial,4,1,112,NA,NA,Catholic,6,5,1,No,13456,5,3,5,5,5,3,4,3,4,3,2,4,2,3,3,4,5,5,3,3,3,4,2,3,4,4,NA,3,3,4,3,3,4,1,3,4,2,2,3,4,3,5,4,1,1,5,5,1,5,1,1,1,1,3,4,3,3,3,2,5,3,2,2,3,10000,3,3,3,0,9,8,8,8
001018015,mexico_chapingo,12H 16M 0S,13H 14M 0S,2022-06-20,28.5877192982456,100,20,5,Female,10,1,18,15,14,NA,A,0,1,1,1,2,16,20,16,23,7,0,5,7,1,4,6,13,5,5,10,6,2,8,2,26,7,5,2,120,6,2,4,3,9,0,4,3,7,NA,9,1,0,11,4,1,23,330,16.5,1,NA,2 0,12,13,Female,22,6,texcoco,NA,ixtlahuaca,san pedro,dicea,tronco comun,3,1,24,NA,NA,Catholic,6,4,1,No,36,2,4,2,5,3,1,2,4,3,5,2,5,1,3,1,3,4,4,2,2,4,4,2,3,4,4,NA,3,4,4,2,3,4,2,3,3,2,2,2,2,5,5,5,4,1,3,3,1,5,1,3,1,1,2,3,4,5,3,5,5,2,5,4,1,NA,3,NA,NA,NA,7,8,5,2
001019001,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,1,2,NA,A,1,1,2,1,2,16,20,12,23,5,0,7,4,2,6,2,6,5,4,9,7,4,11,0,0,6,7,7,30,4,4,4,6,10,0,4,6,10,NA,10,1,0,11,6,1,0,100,5,1,NA,0 30,14,15,Female,19,5,texcoco,NA,puijiapan,las brisas,dicea,lic administracion y negocios,8,1,11,0,0,Catholic,6,6,1,No,246,4,3,2,5,5,3,4,3,2,4,1,2,3,3,3,4,3,3,3,3,3,3,3,2,2,4,3,4,4,4,3,3,6,2,3,4,3,3,3,2,3,4,4,4,1,4,4,1,5,1,1,1,1,1,3,1,3,2,4,5,1,2,3,3,NA,4,1,1,1,7,7,6,4
001019002,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,2,1,3,A,1,1,2,2,2,16,20,20,23,6,2,4,7,2,3,4,11,6,3,9,4,2,6,2,22,10,10,0,120,4,2,6,1,5,1,4,1,5,1,5,6,0,1,6,1,22,320,16,1,NA,2 0,14,15,Male,23,7,texcoco,NA,san uan ozolotepec,san uan ozolotepec,suelos,ingenieria en recursos naturales renovables,2,1,13,0,0,Catholic,6,3,1,No,6,3,3,1,4,3,2,4,4,2,3,3,2,2,3,2,2,2,3,4,4,2,3,4,3,2,5,5,4,5,5,3,2,6,1,2,2,3,3,3,1,2,5,5,2,1,5,5,1,5,1,3,1,1,3,2,3,3,1,5,5,3,3,4,2,70000,4,1,1,1,9,10,10,1
001019003,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,3,4,2,A,1,1,2,1,2,16,16,12,18,8,0,4,6,2,4,5,11,8,4,12,3,3,6,2,22,8,9,3,30,8,3,1,5,13,1,8,5,13,1,13,2,0,9.5,6,1,22,320,16,1,NA,0 30,14,15,Female,19,5,u.h. las vegas,texcoco,u.h. las vegas,texcoco,dicea,tronco comun,4,1,467,0,0,Catholic,6,5,1,No,12356,4,4,2,2,1,1,3,4,1,4,1,2,1,1,1,2,2,4,3,2,3,4,4,1,2,4,4,3,3,3,2,3,6,2,4,3,2,2,2,1,1,5,4,1,1,4,4,1,4,1,1,1,1,2,4,3,4,1,1,5,2,1,2,2,50000,3,5,4,0,8,8,8,4
001019004,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,4,3,NA,A,1,1,1,2,1,16,20,20,21,2,1,9,3,0,9,3,6,5,2,7,6,5,11,0,0,9,8,0,30,6,0,6,4,10,0,4,6,10,NA,10,1,0,11,6,1,0,100,5,1,NA,0 30,14,15,Female,19,5,acolman,tepexpan,acolman,tepexpan,dicea,comercio internacional,3,1,24,0,0,Catholic,6,7,1,No,36,4,3,3,4,2,2,4,3,3,4,2,3,1,3,2,2,3,3,4,3,3,4,3,3,3,3,4,4,2,4,3,3,NA,1,3,3,1,1,2,2,4,4,5,2,1,5,4,2,5,1,1,1,1,2,3,2,4,3,3,5,1,2,1,1,NA,3,5,0,0,8,9,8,2
001019005,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,5,5,NA,A,1,1,1,1,2,16,16,16,23,2,1,9,6,3,3,6,12,5,4,9,6,6,12,1,12,4,5,5,60,5,1,6,3,8,0,4,6,10,NA,8,1,0,11,6,1,12,220,11,1,NA,1 0,14,15,Female,NA,5,texcoco,chapingo,chicoloapan de alvarez,tepoziuotlan,dicea,tronco comun,8,1,2467,2,0,Catholic,6,4,NA,No,NA,3,4,3,4,3,3,2,3,4,4,3,4,3,4,2,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,2,6,2,3,4,3,3,4,2,3,5,4,3,1,4,4,1,4,1,2,1,1,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
001019006,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,6,4,8,A,1,1,1,2,2,16,16,16,18,5,1,6,7,1,4,6,13,8,2,10,3,3,6,2,26,5,6,0,120,6,2,4,2,8,1,6,2,8,1,8,1,0,11,6,1,26,360,18,1,NA,2 0,14,15,Female,25,7,texcoco,NA,tepexi de rodriguez,NA,suelos,recursos naturales,7,1,2467,0,0,Catholic,6,5,1,No,235,2,3,5,5,5,1,2,3,2,4,1,5,2,5,1,3,4,5,2,2,3,3,2,3,5,2,1,3,5,5,3,3,6,1,2,4,3,2,3,2,3,5,2,4,1,5,5,1,4,1,4,1,1,3,3,3,4,4,2,5,1,3,1,2,70000,2,3,1,1,6,7,6,1
001019007,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,7,8,NA,A,1,1,1,2,2,16,20,16,23,6,0,6,8,1,3,3,11,8,3,11,6,6,12,0,0,9,9,1,60,6,2,4,4,10,0,4,6,10,NA,10,6,0,1,6,1,0,100,5,1,NA,1 0,14,15,Female,20,5,texcoco,xolache,tlaxiaco,oaxaca,DICEA,tronco comun,2,1,6,0,0,Catholic,6,5,1,No,2,3,4,1,2,2,3,3,4,2,2,1,2,2,2,1,2,1,4,3,3,3,4,3,2,2,3,3,4,4,4,3,3,6,2,4,4,3,3,3,3,3,4,4,1,1,4,4,1,5,1,2,1,1,3,3,2,3,2,2,5,2,3,3,2,50000,3,4,0,1,8,9,9,9
001019008,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,8,7,6,A,1,1,2,2,2,16,16,16,23,5,1,6,6,4,2,6,12,7,1,8,8,3,11,2,24,8,6,2,300,6,2,4,2,8,1,6,2,8,1,8,6,0,1,6,1,24,340,17,1,NA,5 0,14,15,Male,22,5,texcoco,salitreria,martinez de la torre,manantiales,DICEA,economia,4,1,246,0,0,Non-religious,6,5,4,No,NA,3,2,2,5,3,2,4,2,1,1,1,3,1,2,1,3,2,4,4,3,2,4,4,2,1,4,4,3,5,4,2,2,6,2,3,4,4,2,3,4,2,3,5,3,1,4,4,1,5,1,3,1,1,4,4,3,3,2,2,5,2,3,4,1,70000,2,3,3,3,4,5,5,7
001019009,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,9,10,11,A,1,1,2,2,2,16,16,16,18,2,0,10,6,1,5,1,7,3,2,5,8,3,11,0,0,6,8,0,900,5,0,7,6,11,1,5,6,11,1,11,6,0,1,6,1,0,100,5,1,NA,15 0,14,15,Male,18,5,texcoco,salitreria,chilapa de alvarez,atzacoaleya,preparatoria agricola,prepararatoria,3,1,12,NA,NA,Protestant/Christian,6,3,4,Yes,3456,3,3,1,4,3,1,2,3,2,5,4,2,3,4,1,3,3,3,4,3,4,4,4,2,2,4,4,5,4,5,2,2,8,1,3,3,2,2,2,2,3,5,4,3,1,4,4,1,5,1,1,1,1,3,1,4,3,3,5,5,4,4,1,3,50000,5,0,0,0,8,8,7,1
001019010,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,10,9,NA,A,1,1,1,2,1,16,20,16,21,6,0,6,8,3,1,3,11,8,5,13,6,1,7,2,22,6,8,2,60,8,3,1,3,11,0,4,6,10,NA,11,3,0,8,6,1,22,320,16,1,NA,1 0,14,15,Male,19,5,texcoco,chapingo,huixquilucan,san ramon,suelos,IRNR,3,1,24,0,0,Catholic,6,5,1,Yes,6,4,5,1,2,1,3,2,1,1,4,4,1,1,2,1,2,1,3,5,5,1,5,5,1,1,4,5,5,4,4,3,4,6,1,1,2,2,2,3,2,2,5,5,1,1,5,3,1,4,1,1,1,1,2,2,2,2,4,2,5,2,2,1,3,NA,3,0,0,0,9,9,8,1
001019011,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,11,12,9,A,1,1,2,1,1,16,20,12,16,7,0,5,7,1,4,1,8,9,5,14,5,5,10,0,0,9,9,2,30,7,1,4,1,8,1,7,1,8,1,8,2,0,9.5,6,1,0,100,5,1,NA,0 30,14,15,Male,22,5,texcoco,texcoco,zapopan,zapopan,DICEA,LE,4,1,1112,0,0,Catholic,6,3,1,No,1235,4,2,2,3,2,3,4,4,2,4,2,3,2,4,4,2,2,3,4,4,2,4,4,2,3,2,4,4,4,5,4,5,6,2,4,3,1,1,2,2,2,5,5,2,1,5,5,1,5,1,1,1,1,2,3,3,5,1,2,5,1,1,1,1,15000,3,2,2,0,9,9,9,2
001019012,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,12,11,13,A,1,1,2,2,1,16,20,20,16,4,0,8,5,5,2,5,10,6,4,10,7,1,8,2,20,6,7,5,120,6,1,5,1,7,1,6,1,7,1,7,2,0,9.5,6,1,20,300,15,1,NA,2 0,14,15,Male,22,5,texcoco,chapingo,meliodoro castillo,tlacotepec guerrero,DICEA,comercio internacional,6,1,2,0,0,Catholic,6,6,2,No,4,3,4,2,4,3,3,3,3,2,3,2,3,2,3,3,3,3,4,3,4,2,3,3,3,2,3,3,3,4,4,2,3,6,1,4,3,2,2,3,3,3,4,4,4,1,4,2,2,5,1,2,1,1,3,3,2,1,3,4,4,4,3,4,1,50000,3,4,0,0,6,7,7,5
001019013,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,13,14,12,A,1,1,1,1,1,16,20,16,21,4,0,8,4,0,8,6,10,5,4,9,6,4,10,1,10,10,9,0,300,5,0,7,4,9,1,5,4,9,1,9,1,0,11,6,1,10,200,10,1,NA,5 0,14,15,Female,20,5,teotihuacan,santiago zacualuca,teotihuacan,santiago zacualuca,DICEA,tronco comun,5,1,246,0,0,Non-religious,6,6,1,No,1,3,3,4,3,2,3,3,2,4,4,1,2,2,4,1,2,3,3,4,4,2,4,4,2,2,5,NA,4,5,4,4,3,6,1,3,3,2,2,2,2,2,4,4,2,1,4,2,1,4,1,1,1,1,3,3,3,3,3,2,5,3,3,3,3,70000,3,1,1,0,10,10,9,1
001019014,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Male,10,1,19,14,13,NA,A,1,1,2,1,2,16,16,16,18,5,0,7,6,0,6,4,10,7,3,10,4,6,10,1,10,5,10,5,720,7,0,5,5,12,0,4,6,10,NA,12,4,0,6.5,6,1,10,200,10,1,NA,12 0,14,15,Male,19,5,texcoco,salitreria,temascaltzingo,san francisco,DICEA,tronco comun,2,1,12,NA,NA,Protestant/Christian,6,7,4,No,3,4,4,3,3,4,4,4,2,3,3,2,3,1,2,4,3,3,4,3,3,3,3,3,3,3,4,NA,4,5,4,2,2,NA,1,3,3,3,3,4,3,3,5,5,2,2,4,4,1,3,1,3,1,1,3,3,3,3,2,2,5,4,4,4,1,60000,3,1,1,1,8,8,10,5
001019015,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,15,16,13,A,1,1,2,1,2,16,20,16,23,5,0,7,6,3,3,6,12,5,4,9,7,2,9,2,24,8,7,2,120,8,3,1,3,11,1,6,1,7,2,22,6,0,1,6,1,24,340,17,1,NA,2 0,14,15,Female,26,5,texcoco,salitreria,abasolo,guadalupe victoria,DICEA,economia,4,1,6,NA,NA,Non-religious,6,4,1,No,123456,2,2,5,5,4,2,3,2,4,4,1,5,4,5,3,4,2,3,3,4,3,1,4,5,3,2,1,4,5,5,4,3,6,2,4,4,3,2,2,3,5,5,3,1,1,5,5,1,5,1,1,1,1,3,2,3,3,3,5,5,3,3,4,1,1000000,4,2,0,0,3,4,5,4
001019016,mexico_chapingo,14H 8M 0S,15H 17M 0S,2022-06-20,30.6909090909091,100,20,5,Female,10,1,19,16,15,NA,A,1,1,2,1,2,16,20,16,23,3,1,8,7,0,5,2,9,6,3,9,6,6,12,0,0,8,10,0,240,8,0,4,6,14,0,4,6,10,NA,14,4,0,6.5,6,1,0,100,5,1,NA,4 0,14,15,Female,21,5,tepetlaoxtoc,san juan totoloapan,NA,NA,DICEA,comercio internacional,4,1,246,0,0,Catholic,6,8,1,No,36,3,5,2,3,1,4,5,3,1,2,1,2,1,2,1,3,2,3,2,4,2,4,3,2,2,5,5,4,4,4,2,3,6,1,3,4,2,2,2,1,3,5,4,2,1,4,4,1,5,1,1,1,1,2,3,3,2,2,1,5,2,2,2,2,10000,3,4,1,4,8,8,10,1
